"bs","pe","auc"
0.215674622655389,0.191408754819798,0.596859590057617
0.19220891346655,0.185060229169281,0.68467197420135
NA,2.12584642408202e-08,NA
0.152588470945459,0.151361900993324,0.802470649101526
0.0982917304581753,0.137304102092694,1
NA,0.0504924317441298,NA
0.12150894233698,0.139096683758342,0.931508339833168
0.127316120321084,0.156553060701263,0.958974781153097
NA,0.000433589786378197,NA
0.233091918056187,0.163239330222466,0.613171135559326
0.420985596975715,0.198292566038642,0.178135874596942
NA,1.46477427569065e-09,NA
0.185121089934366,0.17040955405363,0.91575035927973
0.207213790882306,0.197031778522853,0.859155749636099
NA,1.76188400252465e-06,NA
